"current_path","sha256","bytes","git_state","component_type","protection_class","provisional_owner","disposition","approval_gate","notes"
"projects/No and low code_1st Marketing Agent/projects/Nadeln/README.md","6c3febadc9be3e9c6a9af4df68f78ee9065dfa8376da5a97f7c07b87d52fde20","857","tracked-clean","source-workspace-control","normal","company-workspace:Nadeln","move-to-company-workspace","G3C","move with workspace; review parent instruction inheritance"
"projects/No and low code_1st Marketing Agent/projects/Nadeln/wiki/_outputs/mirrorsoft-approved-claim-language-v0-1.md","6fa2f801ff53b99dbb224a9661e66bf3e57a7f23a583054003a19ac6d0045397","7944","tracked-clean","source-owned-asset","normal","company-workspace:Nadeln","move-to-company-workspace","G3C","concrete company artifact; preserve status provenance and internal links"
"projects/No and low code_1st Marketing Agent/projects/Nadeln/wiki/_outputs/mirrorsoft-claim-matrix-v0-1.md","f39ec64e09f70d851fe5e2361eda4a839727ce5de07ce13b8123ed90492715fb","9096","tracked-clean","source-owned-asset","normal","company-workspace:Nadeln","move-to-company-workspace","G3C","concrete company artifact; preserve status provenance and internal links"
"projects/No and low code_1st Marketing Agent/projects/Nadeln/wiki/_outputs/mirrorsoft-context-dossier-v0-1.md","7333fb608e0b0e9e9b5ef5acaa0f559464defaafcc6dcd753157ff14dd99d846","8274","tracked-clean","source-owned-asset","normal","company-workspace:Nadeln","move-to-company-workspace","G3C","concrete company artifact; preserve status provenance and internal links"
"projects/No and low code_1st Marketing Agent/projects/Nadeln/wiki/_outputs/mirrorsoft-context-dossier-v0-2.md","69d16711003ea42a82580cec870afca3de65040b2a22156a6d72e73d65c36856","3851","tracked-clean","source-owned-asset","normal","company-workspace:Nadeln","move-to-company-workspace","G3C","concrete company artifact; preserve status provenance and internal links"
"projects/No and low code_1st Marketing Agent/projects/Nadeln/wiki/_outputs/mirrorsoft-customer-journey-map-v0-1.md","068f8966aaf44059398e02888cf667fb1a047a64405389c5c06da74070dc4a91","11724","tracked-clean","source-owned-asset","normal","company-workspace:Nadeln","move-to-company-workspace","G3C","concrete company artifact; preserve status provenance and internal links"
"projects/No and low code_1st Marketing Agent/projects/Nadeln/wiki/_outputs/mirrorsoft-evidence-pack-outline-v0-1.md","6cc25bfb47e096ebb7f7277e4ea754f3a12ce7903cc14720ce9da1da85cc1deb","10618","tracked-clean","source-owned-asset","normal","company-workspace:Nadeln","move-to-company-workspace","G3C","concrete company artifact; preserve status provenance and internal links"
"projects/No and low code_1st Marketing Agent/projects/Nadeln/wiki/_outputs/mirrorsoft-framework-fit-v0-1.md","c43caf1ef01956da1ce9649e27c599bda98289e6b976e7b464f52fd2949bbbe8","10573","tracked-clean","source-owned-asset","normal","company-workspace:Nadeln","move-to-company-workspace","G3C","concrete company artifact; preserve status provenance and internal links"
"projects/No and low code_1st Marketing Agent/projects/Nadeln/wiki/_outputs/mirrorsoft-message-house-v0-1.md","c6d131f5151e35b4ad633a29cac91783cef52d275b591f1d0f3d5a4ea8d23e06","5839","tracked-clean","source-owned-asset","normal","company-workspace:Nadeln","move-to-company-workspace","G3C","concrete company artifact; preserve status provenance and internal links"
"projects/No and low code_1st Marketing Agent/projects/Nadeln/wiki/_outputs/mirrorsoft-persona-hypotheses-v0-1.md","278415434da3ba56cb4488c44c33da73a88f119524fc88faae609b1ebb9138da","10392","tracked-clean","source-owned-asset","normal","company-workspace:Nadeln","move-to-company-workspace","G3C","concrete company artifact; preserve status provenance and internal links"
"projects/No and low code_1st Marketing Agent/projects/Nadeln/wiki/_outputs/subagent-source-evidence-benchmark-synthesis-2026-06-14.md","d4abe034d9d4cb98f536d66baa8b3f7d5118be31d39ca5d2347fdecb4bddc078","5413","tracked-clean","source-owned-asset","normal","company-workspace:Nadeln","move-to-company-workspace","G3C","concrete company artifact; preserve status provenance and internal links"
"projects/No and low code_1st Marketing Agent/projects/Nadeln/wiki/index.md","27307f2a2b1b4104b80e684cbbdb4fbf5000a31ef26b7d6aa2817b56284c6613","3785","tracked-clean","source-workspace-index","normal","company-workspace:Nadeln","move-to-company-workspace","G3C","move with workspace and update navigation only after cutover"
"projects/No and low code_1st Marketing Agent/projects/Nadeln/wiki/log.md","ebaa472e09a1b74f4d3c5d641bf0308e64b7478a32f3e180d3dc95a9e184d923","10822","tracked-clean","source-workspace-log","normal","company-workspace:Nadeln","move-to-company-workspace","G3C","preserve project history and append-only semantics"
"projects/No and low code_1st Marketing Agent/projects/Nadeln/wiki/mirrorsoft-company-context.md","1134338df756068868b26c542d2f6e9d2171c21d8a4c9718d84e2c7fbdb8eca8","4541","tracked-clean","source-owned-context","normal","company-workspace:Nadeln","move-to-company-workspace","G3C","concrete company knowledge or source summary; preserve evidence state"
"projects/No and low code_1st Marketing Agent/projects/Nadeln/wiki/mirrorsoft-datenblatt-und-belege-auswertung.md","2818a98a31b9b1c3585d9c100a5889fff81c0867e64ea0a4851363423a524d00","8657","tracked-clean","source-owned-context","normal","company-workspace:Nadeln","move-to-company-workspace","G3C","concrete company knowledge or source summary; preserve evidence state"
"projects/No and low code_1st Marketing Agent/projects/Nadeln/wiki/mirrorsoft-website-summary.md","764e2dfd1aff62b03a2397dc8825fde37604b0e518d26b1ddbff8797d101e3c4","4886","tracked-clean","source-owned-context","normal","company-workspace:Nadeln","move-to-company-workspace","G3C","concrete company knowledge or source summary; preserve evidence state"
"projects/No and low code_1st Marketing Agent/projects/Nadeln/wiki/project-brief.md","115ec57d686031c228552e0fdc23b0190a09c9df5c4a98ab65e175ec0bec1d56","2314","tracked-clean","source-owned-context","normal","company-workspace:Nadeln","move-to-company-workspace","G3C","concrete company knowledge or source summary; preserve evidence state"
"projects/No and low code_1st Marketing Agent/projects/Nadeln/wiki/sources.md","04105d8318a183a3d52b319b84c4775ab8d108021d6865c9fae3d83185cf077e","5283","tracked-clean","legacy-source-register","normal","company-workspace:Nadeln","move-to-company-workspace","G3C","preserve; reconcile with future root-custody evidence manifest"
"projects/No and low code_1st Marketing Agent/projects/Zelostat/README.md","b02cf275e6ffc56034b03fb3ca3b32a7f6fa4ed10b27c40c9fe4910f7c4b53ea","684","tracked-clean","source-workspace-control","normal","company-workspace:Zelostat","move-to-company-workspace","G3B","move with workspace; review parent instruction inheritance"
"projects/No and low code_1st Marketing Agent/projects/Zelostat/wiki/_outputs/zelostat-contextops-validation-report-cycle-1.md","567a85f143da04499ce62435b8161230c2df062639bbda5f3c5dcbd22e2cd519","7093","tracked-clean","source-owned-asset","normal","company-workspace:Zelostat","move-to-company-workspace","G3B","concrete company artifact; preserve status provenance and internal links"
"projects/No and low code_1st Marketing Agent/projects/Zelostat/wiki/_outputs/zelostat-contextops-validation-report-cycle-2.md","07d3154d1279da0ebe2506f9ac80b577590d1a77941ff01e7588cafa0f875077","5312","tracked-clean","source-owned-asset","normal","company-workspace:Zelostat","move-to-company-workspace","G3B","concrete company artifact; preserve status provenance and internal links"
"projects/No and low code_1st Marketing Agent/projects/Zelostat/wiki/_outputs/zelostat-marktanalyse-context-packet-v0-1.md","3ed1adcde90ebb03d077e66690c990d3e0184496198354560d78cb97b56e5c6f","10894","tracked-clean","source-owned-asset","normal","company-workspace:Zelostat","move-to-company-workspace","G3B","concrete company artifact; preserve status provenance and internal links"
"projects/No and low code_1st Marketing Agent/projects/Zelostat/wiki/_outputs/zelostat-marktanalyse-context-packet-v0-2.md","ca5de3312f8c8e8405f43e839088deff05db1a936690f30cbbb41861c8c45b82","15270","tracked-clean","source-owned-asset","normal","company-workspace:Zelostat","move-to-company-workspace","G3B","concrete company artifact; preserve status provenance and internal links"
"projects/No and low code_1st Marketing Agent/projects/Zelostat/wiki/_outputs/zelostat-post-pass-handoff-readiness-2026-06-20.md","c452e8efb1ca9b902b5764de30cf31ca7ccf7f215584a0cecbb9524bd6401dfc","1870","tracked-clean","source-owned-asset","normal","company-workspace:Zelostat","move-to-company-workspace","G3B","concrete company artifact; preserve status provenance and internal links"
"projects/No and low code_1st Marketing Agent/projects/Zelostat/wiki/_outputs/zelostat-recursive-learning-update-2026-06-20.md","31d9a4dfc299948d70e73f155d7366d422c8503b09c6ecb180afc2e711e92864","7916","tracked-clean","source-owned-asset","normal","company-workspace:Zelostat","move-to-company-workspace","G3B","concrete company artifact; preserve status provenance and internal links"
"projects/No and low code_1st Marketing Agent/projects/Zelostat/wiki/_outputs/zelostat-web-evidence-extract-2026-06-20.md","49c12715e3a2f78e6a9d8cc559f32adc6626dca514ac199e5aeb7ad55fec60d4","4272","tracked-clean","source-owned-asset","normal","company-workspace:Zelostat","move-to-company-workspace","G3B","concrete company artifact; preserve status provenance and internal links"
"projects/No and low code_1st Marketing Agent/projects/Zelostat/wiki/index.md","bed6f9e73e3d910a076aeeab1f80281406cd9a11b112a1b5a18b9b869b238ba5","2798","tracked-clean","source-workspace-index","normal","company-workspace:Zelostat","move-to-company-workspace","G3B","move with workspace and update navigation only after cutover"
"projects/No and low code_1st Marketing Agent/projects/Zelostat/wiki/log.md","726359db779bcbc41ce1b1d9601d814a3c9578c4a0eeadba8cd9da5f3477c862","4619","tracked-clean","source-workspace-log","normal","company-workspace:Zelostat","move-to-company-workspace","G3B","preserve project history and append-only semantics"
"projects/No and low code_1st Marketing Agent/projects/Zelostat/wiki/project-brief.md","8948e23db9a2bb170b6fcc2d4ace258d3c91a86f314bcad65d351673a38124a5","1680","tracked-clean","source-owned-context","normal","company-workspace:Zelostat","move-to-company-workspace","G3B","concrete company knowledge or source summary; preserve evidence state"
"projects/No and low code_1st Marketing Agent/projects/Zelostat/wiki/sources.md","8d81dd9ba939fbe08171531d69c687386d38faef1f6a3fe5465855f1f5126d3d","3810","tracked-clean","legacy-source-register","normal","company-workspace:Zelostat","move-to-company-workspace","G3B","preserve; reconcile with future root-custody evidence manifest"
"projects/No and low code_1st Marketing Agent/projects/Zelostat/wiki/zelostat-company-context.md","b74b348034d94bfa50f990d87345220c5d3b8d73dba92334c55cfb498c697e0b","2620","tracked-clean","source-owned-context","normal","company-workspace:Zelostat","move-to-company-workspace","G3B","concrete company knowledge or source summary; preserve evidence state"
"projects/No and low code_1st Marketing Agent/projects/Zelostat/wiki/zelostat-external-market-sources-summary-2026-06-20.md","9a411b8dd5388d88eb576a12bdf12a45d810b864f57515526f91922949834774","3046","tracked-clean","source-owned-context","normal","company-workspace:Zelostat","move-to-company-workspace","G3B","concrete company knowledge or source summary; preserve evidence state"
"projects/No and low code_1st Marketing Agent/projects/Zelostat/wiki/zelostat-official-website-source-summary-2026-06-20.md","e96bdd1c64464bb58ead2b42dfb2a5edb49d49b59c77dd962f999e6b70d311d9","4304","tracked-clean","source-owned-context","normal","company-workspace:Zelostat","move-to-company-workspace","G3B","concrete company knowledge or source summary; preserve evidence state"
"projects/No and low code_1st Marketing Agent/README.md","4bf3f0c4c93c5531af2ed314ea580b7ff5d1b5a1dfb6d1cc1553e84c4d5d5b57","2150","tracked-clean","historical-project-control","normal","marketing-contextops-history","retain-as-history","G3G","origin narrative; author a new active README separately"
"projects/No and low code_1st Marketing Agent/skills/audience-understanding/agents/openai.yaml","3b59f82c7e7b923eef3c0c1e535f79680d8ee37330748bf630803d34caf26e54","289","tracked-clean","skill-agent-metadata","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically; explicit cross-system boundary review required"
"projects/No and low code_1st Marketing Agent/skills/audience-understanding/references/audience-context-packet-template.md","6763ed7c8a982eabeab6a83b097358339319725f0080a8dc5086eb28191325d0","2666","tracked-clean","skill-reference","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically; explicit cross-system boundary review required"
"projects/No and low code_1st Marketing Agent/skills/audience-understanding/SKILL.md","db1cd78f49f468bc5da5cb36c1082a62c4a163f974f54ff8f4c5644a363eee89","6537","tracked-clean","skill-definition","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically; explicit cross-system boundary review required"
"projects/No and low code_1st Marketing Agent/skills/b2b-gtm-mapping/agents/openai.yaml","53e83de296903947ee2a6194f754d313d738a3730cdd03ceb65859b23489b0cb","248","tracked-clean","skill-agent-metadata","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically; explicit cross-system boundary review required"
"projects/No and low code_1st Marketing Agent/skills/b2b-gtm-mapping/references/campaign-architecture-template.md","af352c274628f7ff8fd2486de123725664d526dc014ec9085e023e805d4ad543","521","tracked-clean","skill-reference","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically; explicit cross-system boundary review required"
"projects/No and low code_1st Marketing Agent/skills/b2b-gtm-mapping/references/journey-template.md","ebfb4e58a29a33ebf7deb7f944841ef3e26594d4d913d52f0d23a46034174534","579","tracked-clean","skill-reference","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically; explicit cross-system boundary review required"
"projects/No and low code_1st Marketing Agent/skills/b2b-gtm-mapping/references/persona-template.md","4e3b77b411125f1e982f9887effd0867cdb830bbd4e9f8616ceca97b6b80fdcf","775","tracked-clean","skill-reference","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically; explicit cross-system boundary review required"
"projects/No and low code_1st Marketing Agent/skills/b2b-gtm-mapping/references/sales-enablement-template.md","dfd84aaabf0a8a9f59f9dd2bb276912667f32d9d26583a46fea05389bae4e90c","655","tracked-clean","skill-reference","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically; explicit cross-system boundary review required"
"projects/No and low code_1st Marketing Agent/skills/b2b-gtm-mapping/SKILL.md","d26490d349220e09b24a806339ab583b1569cb7689ed6eb8fe58fe6144f593d7","3984","tracked-clean","skill-definition","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically; explicit cross-system boundary review required"
"projects/No and low code_1st Marketing Agent/skills/buying-contexts/agents/openai.yaml","f876094742e584bdeb7e6fd94894f366f2bdcc79bdb0b7bddb99c1ec0a3692a1","210","tracked-clean","skill-agent-metadata","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically"
"projects/No and low code_1st Marketing Agent/skills/buying-contexts/references/boundary-rules.md","e5a10da1b1501f8e25464f45a2c6b7ceee32a79be2d87717fc52ec7626a468b6","1662","tracked-clean","skill-reference","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically"
"projects/No and low code_1st Marketing Agent/skills/buying-contexts/references/business-case-adaptations.md","00af7c3b5966e2ad460004b82ad256508a668c002127fa40bfd9395b24efef15","2849","tracked-clean","skill-reference","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically"
"projects/No and low code_1st Marketing Agent/skills/buying-contexts/references/buying-context-packet-template.md","46226032964538ddb4b237b2027739b97dc46188f1dcdec74b96b1b9d13cb29b","2537","tracked-clean","skill-reference","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically"
"projects/No and low code_1st Marketing Agent/skills/buying-contexts/SKILL.md","69c02e2fd31e64f1841379b86ea33af49c21d07380e246a5986fa606decf7e4f","5048","tracked-clean","skill-definition","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically"
"projects/No and low code_1st Marketing Agent/skills/claim-governance/agents/openai.yaml","3ce3f8e0b0a55dce61db54981b56171c5a8135b746c05a8e3e3fc25b11f09a5d","209","tracked-clean","skill-agent-metadata","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically"
"projects/No and low code_1st Marketing Agent/skills/claim-governance/references/approved-language-template.md","dba4eaab42a156cb1b8f7fea37c2ff63043c2a266f2ea9144ec53960f376774a","1062","tracked-clean","skill-reference","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically"
"projects/No and low code_1st Marketing Agent/skills/claim-governance/references/claim-risk-model.md","ba0d7d5faa0dcc2be5cd385f5c1a86aace5f378f1d41d9d5ca8082950cc17dd7","1402","tracked-clean","skill-reference","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically"
"projects/No and low code_1st Marketing Agent/skills/claim-governance/references/regulated-category-caveats.md","1c25fae7bc8ec1dff973a1d65d468f117f297df5b021fba6c5c5f7267b2b7992","1163","tracked-clean","skill-reference","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically"
"projects/No and low code_1st Marketing Agent/skills/claim-governance/SKILL.md","abf7f667607747ea44196d9b05bf328209c0acb2bf58a3155d9a9e5d53dec11e","3391","tracked-clean","skill-definition","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically"
"projects/No and low code_1st Marketing Agent/skills/company-evidence-intake/agents/openai.yaml","f4196336ea7cf8fe071dd8f8b6d5f49eeb60d9841f38f86ed5f9bd2b1a1a15f2","229","tracked-clean","skill-agent-metadata","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically; explicit cross-system boundary review required"
"projects/No and low code_1st Marketing Agent/skills/company-evidence-intake/references/evidence-gap-template.md","737e3474807271270da1c4f60704aebc2a470cd8007da9decb3528999b07da05","1055","tracked-clean","skill-reference","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically; explicit cross-system boundary review required"
"projects/No and low code_1st Marketing Agent/skills/company-evidence-intake/references/source-summary-template.md","d864887c75465e201f4825fd11d758603dae2bac051930f1f3da508f0081926c","625","tracked-clean","skill-reference","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically; explicit cross-system boundary review required"
"projects/No and low code_1st Marketing Agent/skills/company-evidence-intake/references/source-taxonomy.md","dfbef67df4b25c01be9e0d4333ffa27a3b8bdbb6537ab5ef14e7bc749451987d","1573","tracked-clean","skill-reference","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically; explicit cross-system boundary review required"
"projects/No and low code_1st Marketing Agent/skills/company-evidence-intake/SKILL.md","2c3ff814b9a2e42e7c8a2f31afef712c65c0405af56a57a2aefaaacb7580cbd2","3283","tracked-clean","skill-definition","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically; explicit cross-system boundary review required"
"projects/No and low code_1st Marketing Agent/skills/company-strategy-orchestrator/agents/openai.yaml","b7bb40648874b4441606b3353f9a873c1cba72a685ce33cdd6cac6021ddc8c43","257","tracked-clean","skill-agent-metadata","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically; retain as skill unless separate agent permissions or context are proven"
"projects/No and low code_1st Marketing Agent/skills/company-strategy-orchestrator/references/output-menu.md","0e9a81907513a46fb8ee991af67ea172a18fd8d74d2cb240a173cdb179f7cd09","1687","tracked-clean","skill-reference","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically; retain as skill unless separate agent permissions or context are proven"
"projects/No and low code_1st Marketing Agent/skills/company-strategy-orchestrator/references/risk-classifier.md","0f5d4c8bd7e47ab24d3cd3c429619961296394173a7a713697eebe68f2669e33","1511","tracked-clean","skill-reference","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically; retain as skill unless separate agent permissions or context are proven"
"projects/No and low code_1st Marketing Agent/skills/company-strategy-orchestrator/references/stage-gate.md","81f3bdd8597c2cc28c7fdfcba65dc840666d8c2ffb24d3c7731cba312b76bcde","4237","tracked-clean","skill-reference","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically; retain as skill unless separate agent permissions or context are proven"
"projects/No and low code_1st Marketing Agent/skills/company-strategy-orchestrator/SKILL.md","bf5b2fae4248507bbb443285ad1f0ae357d946857f1753ec3040668c8bb35378","5929","tracked-clean","skill-definition","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically; retain as skill unless separate agent permissions or context are proven"
"projects/No and low code_1st Marketing Agent/skills/contextops-validator/agents/openai.yaml","2825fe1ee0fe14c0243d2c04bba67b5d57def7a5af3ec5fd2435f74c26725792","269","tracked-clean","skill-agent-metadata","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically; decide later whether an isolated agent role is also justified"
"projects/No and low code_1st Marketing Agent/skills/contextops-validator/references/revision-loop.md","2a214055508dc5cd94d683c137f08f7d1cbfe971edceae77d9eed5ad7164db0e","2498","tracked-clean","skill-reference","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically; decide later whether an isolated agent role is also justified"
"projects/No and low code_1st Marketing Agent/skills/contextops-validator/references/stage-profiles.md","4b36b0a42d0af6bc3d43a9b7f94a1331057119e0741fbe0477f58712c9f3d86e","4762","tracked-clean","skill-reference","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically; decide later whether an isolated agent role is also justified"
"projects/No and low code_1st Marketing Agent/skills/contextops-validator/references/validation-contract.md","05c1578f4dc8edde2ee14b14a1f95d9701bcd16ec205088e2b82e2a98d574084","3002","tracked-clean","skill-reference","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically; decide later whether an isolated agent role is also justified"
"projects/No and low code_1st Marketing Agent/skills/contextops-validator/scripts/validate_verdict.py","acc4e7fa32bd884a920dbe84da9e8695282d497ec3fe585110de834dd5ee568e","1767","tracked-clean","skill-tool","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically; decide later whether an isolated agent role is also justified"
"projects/No and low code_1st Marketing Agent/skills/contextops-validator/SKILL.md","30e22d65b6b3a1b95c5d28e95c88ff93b75f7e7e143586e56f9890264b8b12da","5767","tracked-clean","skill-definition","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically; decide later whether an isolated agent role is also justified"
"projects/No and low code_1st Marketing Agent/skills/framework-builder/agents/openai.yaml","1dc56388eee4b6b7c4bb419066abec6515417cf5de37aa8c6323b14d144f79a9","244","tracked-clean","skill-agent-metadata","canonical-skill-component","root-shared-capability-candidate","defer","G2-boundary","general framework engineering scope exceeds Marketing ContextOps"
"projects/No and low code_1st Marketing Agent/skills/framework-builder/references/evaluation-and-evolution.md","1b2d58b4b416640a91938f67db987f7c6dc447e0821cda349c828e2371c73934","2256","tracked-clean","skill-reference","canonical-skill-component","root-shared-capability-candidate","defer","G2-boundary","general framework engineering scope exceeds Marketing ContextOps"
"projects/No and low code_1st Marketing Agent/skills/framework-builder/references/framework-engineering-lifecycle.md","9631490adff291b24a5318fba28cdd90601564fa1c3f5cc3954a31c31a3e3550","2497","tracked-clean","skill-reference","canonical-skill-component","root-shared-capability-candidate","defer","G2-boundary","general framework engineering scope exceeds Marketing ContextOps"
"projects/No and low code_1st Marketing Agent/skills/framework-builder/references/framework-schema.md","58934a872d60e704797dd0e8b2e76a0ef4c705ddd2e03bf687b2568d24c85585","1326","tracked-clean","skill-reference","canonical-skill-component","root-shared-capability-candidate","defer","G2-boundary","general framework engineering scope exceeds Marketing ContextOps"
"projects/No and low code_1st Marketing Agent/skills/framework-builder/references/question-engineering.md","85a348d68e875a3f4e765185204091140bf81cae1b58a5fe42a70ef815cf2507","2182","tracked-clean","skill-reference","canonical-skill-component","root-shared-capability-candidate","defer","G2-boundary","general framework engineering scope exceeds Marketing ContextOps"
"projects/No and low code_1st Marketing Agent/skills/framework-builder/references/source-provenance-model.md","c6c30bc5129fb232b7bd00ed123a134d5185ffee3d33e675835fbdd771087e78","1847","tracked-clean","skill-reference","canonical-skill-component","root-shared-capability-candidate","defer","G2-boundary","general framework engineering scope exceeds Marketing ContextOps"
"projects/No and low code_1st Marketing Agent/skills/framework-builder/scripts/lint_framework.py","67aa3c26f8cda1d8804f294ff67a2ff3381d0ee3f4e2f12fa24591cae06acfb3","3445","tracked-clean","skill-tool","canonical-skill-component","root-shared-capability-candidate","defer","G2-boundary","general framework engineering scope exceeds Marketing ContextOps"
"projects/No and low code_1st Marketing Agent/skills/framework-builder/SKILL.md","4bf4445b4a985ca3eb4a1ebde40b6ba22fcbf8f9f6d89f5183cf4943aa5dc6b0","7013","tracked-clean","skill-definition","canonical-skill-component","root-shared-capability-candidate","defer","G2-boundary","general framework engineering scope exceeds Marketing ContextOps"
"projects/No and low code_1st Marketing Agent/skills/marktanalyse/agents/openai.yaml","13d44291340f3bf2466609290a329576fea51d49030676a696d59fccd58d7586","222","tracked-clean","skill-agent-metadata","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically"
"projects/No and low code_1st Marketing Agent/skills/marktanalyse/references/context-packet-template.md","6c274ff2ec226e2d340b7381dcd395797ce1bec981b031c4ce2d1a517a5b0f90","2284","tracked-clean","skill-reference","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically"
"projects/No and low code_1st Marketing Agent/skills/marktanalyse/references/contextops-boundary-rules.md","0a89a3c5210a1a52a659a12961ed188ae0c4154b1dd9fd4531997479ae226d5d","1831","tracked-clean","skill-reference","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically"
"projects/No and low code_1st Marketing Agent/skills/marktanalyse/SKILL.md","4a233a69c8a2286010706bed6c1113e79f1cb37d20350bc435eb37533e6dc99b","5441","tracked-clean","skill-definition","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically"
"projects/No and low code_1st Marketing Agent/skills/proof-led-positioning/agents/openai.yaml","9dc8fa5b7267ff11efad03fbfe736e141393194925a83184aa0af11658d146c7","243","tracked-clean","skill-agent-metadata","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically; explicit cross-system boundary review required"
"projects/No and low code_1st Marketing Agent/skills/proof-led-positioning/references/message-house-template.md","d05855132df2740a5f09a30fa30a77ed6b7f91cea1e50add748e8bc1fdf6d4c4","770","tracked-clean","skill-reference","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically; explicit cross-system boundary review required"
"projects/No and low code_1st Marketing Agent/skills/proof-led-positioning/references/proof-pillar-template.md","a88c1dd56d134d23ef5d742d28fbb090fc800a0e66f6e50ab210d05eb1be64bf","564","tracked-clean","skill-reference","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically; explicit cross-system boundary review required"
"projects/No and low code_1st Marketing Agent/skills/proof-led-positioning/references/value-proposition-template.md","ad17b8d5a92eb64ba491f527aeb88b7e96a16ea4208cce502b875cc9770e052e","651","tracked-clean","skill-reference","canonical-skill-component","marketing-contextops","move-to-marketing-contextops","G3E","move as one canonical skill package; update discovery wrapper atomically; explicit cross-system boundary review required"
